name,course,credit,grade,cgpa
Nusrat Hossain,CS105,3,90.1,2.22
Hasan Sarker,CS104,4,73.2,2.77
Sadia Miah,CS101,2,88.4,3.15
Tania Hossain,CS105,4,83.8,2.69
Ayesha Sarker,CS103,3,95.5,2.67
Nusrat Islam,CS101,4,81.4,3.32
Mousumi Chowdhury,CS103,3,66.8,3.31
Puja Rahman,CS102,4,75.5,2.78
Sohel Miah,CS104,3,82.6,3.94
Puja Chowdhury,CS102,2,61.4,2.37
Rina Hossain,CS102,2,68.7,3.0
Rafi Khan,CS101,2,94.3,3.47
Ayesha Chowdhury,CS102,2,71.0,3.75
Fatema Chowdhury,CS104,3,60.0,3.72
Fatema Rahman,CS104,2,75.1,2.56
Rahim Hossain,CS102,2,71.9,2.1
Rahim Khan,CS102,3,68.9,3.6
Karim Khan,CS103,3,77.1,2.21
Rina Islam,CS102,4,70.4,2.28
Mousumi Khan,CS103,2,71.1,2.58
Mousumi Hossain,CS102,4,79.9,3.87
Sadia Das,CS105,4,67.2,2.24
Sadia Chowdhury,CS103,2,62.5,3.01
Mousumi Mondal,CS102,4,74.4,3.17
Nusrat Ahmed,CS105,2,76.0,2.29
Ayesha Khan,CS101,2,60.0,3.18
Hasan Sarker,CS102,2,77.0,2.26
Hasan Islam,CS105,2,78.6,2.06
Nusrat Das,CS102,4,86.7,2.51
Ruma Sarker,CS103,3,61.0,3.72
Shila Ahmed,CS102,2,67.3,3.28
Hasan Islam,CS102,2,81.8,3.5
Salam Khan,CS103,2,78.6,2.98
Rina Das,CS102,4,75.3,2.07
Puja Mondal,CS103,3,72.4,2.86
Jamal Das,CS104,4,73.1,3.36
Tania Hossain,CS101,3,68.6,2.69
Sohel Khan,CS102,4,94.9,3.2
Imran Sarker,CS103,4,62.9,2.54
Sadia Hossain,CS103,2,94.8,3.08
Salam Islam,CS104,2,97.7,2.31
Karim Sarker,CS104,3,64.0,2.57
Arif Mondal,CS102,2,80.2,3.57
Rafi Rahman,CS102,2,83.5,3.85
Rafi Hossain,CS105,2,68.3,3.01
Karim Mondal,CS101,4,98.1,2.46
Ruma Hossain,CS104,4,66.5,3.77
Nadim Khan,CS104,4,84.9,2.81
Rahim Miah,CS104,3,72.1,2.49
Rafi Hossain,CS101,2,77.8,3.97
Arif Chowdhury,CS102,3,66.8,2.11
Fatema Miah,CS102,4,70.5,3.61
Hasan Khan,CS101,4,84.4,2.8
Fatema Mondal,CS105,3,95.8,2.45
Shila Miah,CS103,2,78.0,3.96
Karim Das,CS104,3,61.2,2.04
Salam Chowdhury,CS105,4,69.1,2.83
Hasan Sarker,CS104,2,66.5,2.45
Sohel Khan,CS105,4,95.8,3.93
Sadia Hossain,CS105,2,86.4,3.61
Karim Miah,CS105,4,90.5,3.17
Shila Sarker,CS105,2,82.9,2.05
Rahim Islam,CS102,4,66.8,2.42
Ayesha Miah,CS104,4,72.4,3.7
Jamal Das,CS101,3,82.6,2.45
Sadia Mondal,CS104,4,97.0,2.77
Nusrat Miah,CS101,3,74.3,3.54
Rahim Miah,CS103,2,78.4,3.15
Hasan Miah,CS104,3,63.9,2.93
Imran Chowdhury,CS105,2,84.2,2.63
Arif Rahman,CS101,2,85.1,2.11
Arif Sarker,CS102,3,71.8,3.04
Rina Rahman,CS105,3,78.4,2.36
Rafi Mondal,CS103,2,60.0,2.34
Fatema Ahmed,CS101,3,67.6,2.22
Sohel Ahmed,CS103,2,86.0,3.78
Sohel Miah,CS103,3,77.1,2.55
Rafi Rahman,CS104,3,89.1,2.99
Jamal Mondal,CS101,3,86.2,2.95
Hasan Sarker,CS103,2,77.2,3.81
Ayesha Das,CS102,3,88.9,3.56
Tania Miah,CS102,3,99.2,3.17
Nadim Khan,CS102,4,97.1,3.73
Karim Mondal,CS102,2,84.9,2.94
Jamal Chowdhury,CS103,4,87.4,2.19
Ruma Hossain,CS104,4,76.1,2.6
Mousumi Islam,CS105,3,62.5,3.09
Sadia Das,CS104,2,98.3,3.17
Rina Ahmed,CS105,4,67.2,2.52
Nadim Chowdhury,CS102,2,83.2,2.32
Arif Miah,CS101,2,85.7,3.26
Puja Islam,CS105,2,77.5,2.31
Sadia Chowdhury,CS103,2,67.4,2.87
Rahim Hossain,CS101,3,66.7,2.89
Rahim Islam,CS102,2,88.4,2.07
Rahim Das,CS102,2,61.7,2.5
Karim Hossain,CS102,4,67.3,3.6
Jamal Mondal,CS105,3,93.2,3.58
Ruma Ahmed,CS105,3,66.2,2.9
Fatema Mondal,CS104,4,93.2,3.01
Nusrat Khan,CS105,3,95.4,2.48
Imran Khan,CS101,4,78.0,2.88
Karim Miah,CS104,4,65.0,2.07
Fatema Hossain,CS102,2,64.0,3.75
Rafi Islam,CS102,4,88.6,3.33
Imran Mondal,CS103,2,70.8,2.68
Fatema Miah,CS101,3,96.8,3.06
Imran Das,CS104,2,81.1,3.84
Imran Hossain,CS104,3,88.4,2.23
Karim Chowdhury,CS104,2,72.0,3.57
Nadim Khan,CS101,4,90.5,3.05
Karim Mondal,CS104,4,99.7,2.56
Rahim Rahman,CS102,4,67.1,3.61
Nadim Miah,CS104,4,68.2,3.99
Salam Rahman,CS104,4,90.3,2.27
Rina Rahman,CS101,3,79.9,3.08
Fatema Sarker,CS102,4,80.1,3.76
Sohel Khan,CS105,4,94.1,3.81
Ruma Islam,CS103,2,98.8,3.33
Ayesha Rahman,CS105,2,76.6,2.69
Hasan Chowdhury,CS102,2,90.9,2.48
Salam Miah,CS101,4,62.8,2.85
Puja Das,CS101,4,61.0,3.32
Rafi Rahman,CS103,3,91.0,3.94
Sohel Rahman,CS105,2,65.5,3.4
Ruma Das,CS104,4,60.6,2.66
Rahim Ahmed,CS101,2,96.5,3.93
Nusrat Rahman,CS103,3,68.7,3.7
Ruma Chowdhury,CS101,3,77.4,2.78
Rina Mondal,CS105,3,94.4,2.59
Ruma Ahmed,CS104,2,72.6,2.11
Nusrat Khan,CS103,2,99.3,2.5
Rafi Sarker,CS103,3,69.4,3.76
Puja Hossain,CS104,4,67.0,3.94
Nadim Islam,CS103,2,72.3,3.79
Tania Das,CS105,2,88.4,3.73
Tania Hossain,CS103,2,70.2,3.23
Mousumi Khan,CS102,4,70.8,3.78
Fatema Rahman,CS105,4,92.0,3.07
Sohel Islam,CS105,3,70.3,2.53
Hasan Das,CS104,3,70.3,3.11
Hasan Rahman,CS105,3,68.6,2.63
Ruma Miah,CS103,2,70.8,3.9
Mousumi Das,CS102,3,79.8,2.39
Ayesha Rahman,CS102,4,78.9,2.95
Rahim Islam,CS101,2,81.9,2.2
Salam Das,CS101,2,64.0,3.66
Rahim Islam,CS104,4,65.1,3.41
Sohel Rahman,CS101,3,61.8,3.88
Tania Das,CS101,4,60.1,3.1
Karim Hossain,CS103,3,86.5,3.37
Tania Islam,CS105,2,80.3,2.53
Tania Rahman,CS102,2,88.3,2.79
Fatema Chowdhury,CS104,3,73.0,2.88
Jamal Sarker,CS105,2,98.7,2.51
Salam Khan,CS105,2,73.8,3.9
Jamal Ahmed,CS105,2,91.8,2.54
Karim Khan,CS102,2,85.5,2.33
Puja Khan,CS105,4,81.7,3.18
Nusrat Mondal,CS103,3,97.1,3.64
Tania Mondal,CS103,4,75.3,3.35
Rina Sarker,CS101,2,88.1,2.14
Fatema Sarker,CS102,4,79.6,2.84
Sohel Khan,CS104,3,96.2,2.84
Nusrat Miah,CS101,4,81.8,2.07
Hasan Khan,CS103,4,69.9,3.88
Imran Das,CS103,4,80.8,2.63
Mousumi Islam,CS101,2,61.2,2.66
Shila Miah,CS102,4,91.7,2.65
Imran Miah,CS105,3,69.7,2.46
Tania Sarker,CS105,2,69.7,3.45
Salam Miah,CS105,2,92.7,3.94
Arif Khan,CS103,4,97.8,3.8
Rahim Rahman,CS103,2,62.5,3.59
Shila Islam,CS102,3,83.2,3.61
Fatema Mondal,CS104,3,89.2,2.15
Nusrat Hossain,CS102,4,77.4,3.13
Ruma Chowdhury,CS101,2,64.5,2.56
Salam Hossain,CS101,2,94.8,3.15
Ruma Hossain,CS105,4,86.4,2.51
Rina Ahmed,CS104,3,82.8,3.86
Arif Chowdhury,CS105,3,71.3,2.6
Mousumi Miah,CS105,2,74.4,3.9
Fatema Sarker,CS103,3,91.7,3.03
Rafi Ahmed,CS102,4,75.3,2.76
Salam Hossain,CS104,3,82.2,2.72
Mousumi Mondal,CS102,3,81.5,3.78
Mousumi Mondal,CS102,2,73.1,3.62
Karim Chowdhury,CS104,4,75.0,2.57
Ayesha Chowdhury,CS105,4,84.3,2.07
Ayesha Das,CS102,3,90.9,2.57
Arif Ahmed,CS101,4,83.5,2.45
Rafi Mondal,CS101,2,92.2,3.89
Puja Khan,CS105,4,76.1,3.42
Sohel Sarker,CS102,3,85.9,3.23
Jamal Sarker,CS105,3,66.9,3.5
Karim Das,CS103,3,74.6,2.31
Nusrat Ahmed,CS101,4,79.9,2.59
Salam Rahman,CS101,3,62.4,3.66
Shila Khan,CS101,3,60.1,3.59
Mousumi Das,CS103,2,80.1,3.18
Nadim Ahmed,CS101,4,77.7,2.19
Ayesha Sarker,CS102,4,67.7,2.76
Arif Rahman,CS101,2,93.7,2.11
Puja Khan,CS103,4,63.5,3.97
Rina Das,CS102,4,63.8,3.26
Salam Miah,CS102,2,94.5,3.88
Karim Das,CS104,4,68.6,3.56
Sohel Rahman,CS101,4,65.8,2.66
Ruma Rahman,CS104,2,90.8,2.22
Hasan Mondal,CS103,4,70.3,3.45
Sohel Khan,CS102,3,77.2,2.93
Rahim Islam,CS104,2,72.4,2.96
Nadim Islam,CS105,3,60.1,2.71
Rafi Khan,CS101,4,68.5,2.72
Sadia Khan,CS101,4,73.1,3.93
Salam Sarker,CS105,3,82.4,3.23
Rina Sarker,CS104,3,90.9,3.9
Hasan Ahmed,CS101,2,86.1,2.49
Arif Das,CS105,3,68.8,3.14
Puja Miah,CS104,2,60.6,2.45
Hasan Das,CS102,3,83.9,3.36
Arif Islam,CS102,4,99.0,2.74
Rahim Chowdhury,CS103,4,61.6,2.25
Rina Das,CS105,3,94.5,3.27
Karim Rahman,CS102,4,94.9,2.73
Rahim Das,CS101,4,71.5,3.38
Arif Hossain,CS103,2,81.2,3.74
Rafi Ahmed,CS102,3,99.1,3.3
Shila Sarker,CS101,4,79.5,3.22
Jamal Khan,CS105,4,94.7,2.93
Puja Miah,CS101,2,92.4,2.2
Arif Hossain,CS103,4,67.6,3.16
Salam Miah,CS102,3,66.7,2.93
Mousumi Miah,CS101,2,97.3,2.21
Arif Sarker,CS105,3,62.4,2.34
Rina Hossain,CS103,2,98.6,2.2
Nusrat Hossain,CS104,4,98.0,3.01
Rafi Sarker,CS102,2,61.5,2.07
Nusrat Sarker,CS103,4,63.6,2.59
Shila Sarker,CS102,3,74.5,3.16
Rafi Chowdhury,CS104,4,71.7,3.24
Rahim Islam,CS104,2,75.6,3.37
Rafi Mondal,CS103,2,75.8,2.38
Sohel Ahmed,CS105,4,64.3,2.26
Nadim Mondal,CS104,3,79.7,3.84
Shila Khan,CS104,4,93.1,3.45
Karim Chowdhury,CS102,2,80.1,2.39
Rafi Mondal,CS103,3,62.6,2.87
Rina Hossain,CS102,2,67.0,2.21
Tania Das,CS103,3,77.6,2.97
Salam Islam,CS104,3,81.4,2.94
Ruma Das,CS103,4,75.4,3.2
Rafi Islam,CS103,3,78.2,3.26
Rafi Rahman,CS102,4,72.0,3.48
Fatema Sarker,CS102,3,97.3,2.92
Sadia Sarker,CS102,2,96.1,3.06
Imran Islam,CS103,4,70.2,3.13
Jamal Chowdhury,CS102,3,79.0,2.95
Nadim Ahmed,CS101,2,77.6,2.18
Rahim Khan,CS105,3,81.2,3.1
Arif Ahmed,CS103,4,87.7,3.55
Rafi Hossain,CS101,3,65.6,2.05
Tania Chowdhury,CS103,3,63.6,2.94
Shila Chowdhury,CS102,2,75.2,2.78
Tania Hossain,CS102,2,74.3,3.27
Arif Islam,CS102,2,82.3,2.06
Rahim Chowdhury,CS102,2,79.0,2.29
Fatema Rahman,CS102,4,67.2,3.15
Sadia Das,CS104,2,95.5,2.58
Mousumi Das,CS101,4,78.1,2.28
Nadim Hossain,CS101,4,84.7,3.22
Rahim Khan,CS105,2,77.0,2.24
Fatema Sarker,CS101,3,94.1,3.43
Tania Sarker,CS102,3,77.6,2.49
Nusrat Sarker,CS104,2,73.5,2.95
Salam Miah,CS104,3,80.4,2.1
Rahim Ahmed,CS102,3,84.1,3.49
Hasan Miah,CS105,4,94.4,2.02
Salam Mondal,CS102,2,78.7,3.24
Tania Rahman,CS101,4,88.6,3.75
Puja Chowdhury,CS105,2,82.1,3.79
Salam Chowdhury,CS101,4,82.4,3.49
Rina Khan,CS101,2,79.1,3.27
Nadim Sarker,CS102,3,99.5,3.93
Jamal Miah,CS104,4,85.8,2.71
Hasan Mondal,CS105,3,68.5,3.67
Sohel Miah,CS104,4,90.2,3.62
Hasan Das,CS102,4,63.8,2.79
Puja Mondal,CS105,2,80.3,3.04
Karim Das,CS101,4,76.7,3.52
Rafi Hossain,CS102,2,66.2,2.95
Nadim Hossain,CS104,2,75.8,3.6
Sadia Das,CS105,4,84.4,3.94
Rafi Islam,CS103,3,92.1,3.97
Rahim Hossain,CS105,4,82.6,3.37
Nusrat Chowdhury,CS101,3,71.5,2.57
Rahim Das,CS101,2,68.4,3.84
Nusrat Hossain,CS103,2,89.8,3.81
Karim Miah,CS101,2,61.3,2.98
Tania Mondal,CS104,4,91.0,2.27
Mousumi Das,CS104,4,67.1,3.66
Arif Khan,CS103,3,77.2,3.57
Rina Khan,CS103,2,97.8,2.54
Jamal Islam,CS101,3,89.7,3.58
Salam Rahman,CS102,3,70.8,2.46
Nadim Das,CS103,2,78.2,3.03
Nadim Islam,CS101,4,88.6,3.01
Sadia Khan,CS101,4,79.0,3.98
Shila Miah,CS101,3,93.6,3.83
Fatema Miah,CS101,2,69.1,2.5
Jamal Khan,CS101,3,91.1,3.98
Sadia Mondal,CS103,3,93.3,3.31
Imran Islam,CS101,2,77.9,3.75
Imran Das,CS101,3,68.3,2.01
Rafi Mondal,CS104,2,62.3,3.76
Sadia Rahman,CS105,3,63.7,2.0
Fatema Rahman,CS101,2,72.6,2.75
Ayesha Rahman,CS104,2,87.3,3.94
Rahim Rahman,CS104,4,73.8,2.95
Shila Islam,CS104,4,60.7,2.43
Fatema Hossain,CS105,4,83.4,2.6
Shila Miah,CS105,4,68.1,3.01
Imran Islam,CS101,4,73.1,2.66
Ayesha Hossain,CS102,2,97.6,2.56
Ayesha Rahman,CS101,2,80.8,2.2
Karim Hossain,CS105,4,84.7,3.1
Shila Hossain,CS101,4,77.0,2.2
Rahim Miah,CS105,4,82.3,2.52
Karim Rahman,CS104,4,95.9,3.36
Fatema Hossain,CS102,3,79.8,3.31
Ayesha Das,CS105,2,72.1,2.51
Tania Das,CS104,3,88.0,2.27
Rina Miah,CS103,3,63.7,3.11
Imran Hossain,CS102,2,83.3,3.41
Nusrat Khan,CS101,3,91.9,3.48
Ruma Rahman,CS103,3,62.8,3.35
Karim Chowdhury,CS104,3,86.4,2.57
Karim Khan,CS101,2,99.7,2.48
Rina Miah,CS103,3,60.3,3.96
Mousumi Ahmed,CS105,4,71.9,3.87
Fatema Rahman,CS102,3,83.5,3.44
Sadia Ahmed,CS105,4,97.8,3.82
Sohel Rahman,CS103,4,97.1,2.83
Nusrat Hossain,CS101,2,94.3,2.02
Nusrat Islam,CS105,4,70.9,3.74
Sohel Islam,CS101,2,65.7,3.14
Ayesha Khan,CS102,4,99.3,3.6
Rafi Ahmed,CS102,2,60.4,3.56
Sadia Islam,CS105,2,94.0,2.14
Hasan Islam,CS102,3,88.0,3.48
Imran Ahmed,CS101,4,71.7,3.63
Salam Chowdhury,CS105,4,78.4,3.37
Salam Miah,CS104,3,79.7,2.19
Puja Rahman,CS103,2,85.5,2.79
Nusrat Miah,CS103,4,93.1,3.49
Puja Ahmed,CS104,3,81.4,3.25
Shila Khan,CS105,3,86.4,2.61
Rahim Ahmed,CS102,2,76.1,2.64
Nusrat Mondal,CS102,4,96.5,3.32
Ruma Khan,CS101,4,87.6,3.47
Ayesha Hossain,CS103,3,66.1,2.78
Fatema Miah,CS102,4,69.4,3.03
Arif Sarker,CS101,4,69.5,2.67
Nadim Islam,CS102,2,89.8,2.73
Arif Chowdhury,CS101,3,87.2,3.93
Rahim Mondal,CS105,3,96.3,2.68
Nusrat Sarker,CS104,4,70.5,3.5
Sohel Rahman,CS105,2,95.7,2.66
Nusrat Khan,CS104,2,69.3,3.61
Ayesha Mondal,CS104,3,64.6,2.4
Ruma Mondal,CS101,2,74.4,3.8
Arif Rahman,CS104,3,74.8,2.84
Puja Hossain,CS102,4,92.8,2.01
Ruma Sarker,CS101,3,86.2,3.2
Nadim Hossain,CS103,2,68.4,2.37
Hasan Das,CS104,2,75.0,3.44
Ruma Sarker,CS104,3,75.8,2.25
Nadim Chowdhury,CS105,3,85.3,3.26
Salam Mondal,CS105,2,85.2,3.75
Karim Islam,CS101,3,80.2,3.99
Shila Khan,CS105,4,96.3,3.78
